输入文件：我的最佳.xlsx
组别（14个）：两栖、动物、大地、天空、妖精、巨灵、拟人、昆虫、机械、植物、海洋、软体、魔力、龙

共 158 种组合（按星光值从高到低排序）

    1. 星光值=  420  古钟蛇(两栖+动物), 仪使者(妖精+大地), 小甲虫(昆虫+天空), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
    2. 星光值=  408  古钟蛇(两栖+动物), 阿米亚特(巨灵+大地), 小翼龙(天空+龙), 梦游(妖精+魔力), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
    3. 星光值=  408  花怨鳗(两栖+海洋), 裘洛(动物+妖精), 阿米亚特(巨灵+大地), 小翼龙(天空+龙), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
    4. 星光值=  408  花怨鳗(两栖+海洋), 小狮鹫(天空+动物), 仪使者(妖精+大地), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
    5. 星光值=  404  花怨鳗(两栖+海洋), 奔波鼠(动物+拟人), 仪使者(妖精+大地), 小翼龙(天空+龙), 多西(巨灵+机械), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
    6. 星光值=  402  古钟蛇(两栖+动物), 阿米亚特(巨灵+大地), 小翼龙(天空+龙), 毛头小蛛(昆虫+妖精), 机械方方(拟人+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
    7. 星光值=  400  波波螺(两栖+大地), 裘洛(动物+妖精), 小甲虫(昆虫+天空), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
    8. 星光值=  400  古钟蛇(两栖+动物), 仪使者(妖精+大地), 小翼龙(天空+龙), 矮脚爬爬(巨灵+昆虫), 机械方方(拟人+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
    9. 星光值=  388  波波螺(两栖+大地), 小狮鹫(天空+动物), 梦游(妖精+魔力), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   10. 星光值=  388  古钟蛇(两栖+动物), 仪使者(妖精+大地), 小翼龙(天空+龙), 火花(魔力+巨灵), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   11. 星光值=  388  花怨鳗(两栖+海洋), 月牙雪熊(巨灵+动物), 仪使者(妖精+大地), 小翼龙(天空+龙), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
   12. 星光值=  386  花怨鳗(两栖+海洋), 奔波鼠(动物+拟人), 仪使者(妖精+大地), 螺旋帕帕(天空+机械), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
   13. 星光值=  384  波波螺(两栖+大地), 奔波鼠(动物+拟人), 小翼龙(天空+龙), 梦游(妖精+魔力), 多西(巨灵+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   14. 星光值=  382  波波螺(两栖+大地), 小狮鹫(天空+动物), 毛头小蛛(昆虫+妖精), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
   15. 星光值=  380  波波螺(两栖+大地), 裘洛(动物+妖精), 小翼龙(天空+龙), 矮脚爬爬(巨灵+昆虫), 机械方方(拟人+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
   16. 星光值=  378  波波螺(两栖+大地), 奔波鼠(动物+拟人), 小翼龙(天空+龙), 毛头小蛛(昆虫+妖精), 多西(巨灵+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
   17. 星光值=  368  波波螺(两栖+大地), 裘洛(动物+妖精), 小翼龙(天空+龙), 火花(魔力+巨灵), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   18. 星光值=  368  波波螺(两栖+大地), 月牙雪熊(巨灵+动物), 小翼龙(天空+龙), 梦游(妖精+魔力), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   19. 星光值=  368  古钟蛇(两栖+动物), 仪使者(妖精+大地), 小翼龙(天空+龙), 空空颅(巨灵+魔力), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   20. 星光值=  368  花怨鳗(两栖+海洋), 炫光迪迪(动物+大地), 粉星仔(天空+妖精), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
   21. 星光值=  368  花怨鳗(两栖+海洋), 裘洛(动物+妖精), 矿晶虫(软体+大地), 小甲虫(昆虫+天空), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 小灵菇(植物+魔力)
   22. 星光值=  366  波波螺(两栖+大地), 奔波鼠(动物+拟人), 螺旋帕帕(天空+机械), 梦游(妖精+魔力), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   23. 星光值=  362  波波螺(两栖+大地), 月牙雪熊(巨灵+动物), 小翼龙(天空+龙), 毛头小蛛(昆虫+妖精), 机械方方(拟人+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
   24. 星光值=  360  波波螺(两栖+大地), 奔波鼠(动物+拟人), 螺旋帕帕(天空+机械), 毛头小蛛(昆虫+妖精), 大头骨龙(巨灵+龙), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
   25. 星光值=  360  花怨鳗(两栖+海洋), 炫光迪迪(动物+大地), 小甲虫(昆虫+天空), 格兰种子(妖精+植物), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 脆筒甜甜(软体+魔力)
   26. 星光值=  356  花怨鳗(两栖+海洋), 小狮鹫(天空+动物), 矿晶虫(软体+大地), 梦游(妖精+魔力), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 柴渣虫(昆虫+植物)
   27. 星光值=  352  花怨鳗(两栖+海洋), 奔波鼠(动物+拟人), 矿晶虫(软体+大地), 小翼龙(天空+龙), 梦游(妖精+魔力), 多西(巨灵+机械), 柴渣虫(昆虫+植物)
   28. 星光值=  350  花怨鳗(两栖+海洋), 小狮鹫(天空+动物), 矿晶虫(软体+大地), 毛头小蛛(昆虫+妖精), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 小灵菇(植物+魔力)
   29. 星光值=  348  波波螺(两栖+大地), 裘洛(动物+妖精), 小翼龙(天空+龙), 空空颅(巨灵+魔力), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   30. 星光值=  348  古钟蛇(两栖+动物), 仪使者(妖精+大地), 小翼龙(天空+龙), 白发懒人(巨灵+拟人), 柴渣虫(昆虫+植物), 烟花团(机械+魔力), 墨鱿士(软体+海洋)
   31. 星光值=  348  古钟蛇(两栖+动物), 仪使者(妖精+大地), 厉毒小萝(天空+拟人), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 烟花团(机械+魔力), 墨鱿士(软体+海洋)
   32. 星光值=  348  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 仪使者(妖精+大地), 小翼龙(天空+龙), 白发懒人(巨灵+拟人), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
   33. 星光值=  348  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 仪使者(妖精+大地), 厉毒小萝(天空+拟人), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
   34. 星光值=  348  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 仪使者(妖精+大地), 小翼龙(天空+龙), 白发懒人(巨灵+拟人), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
   35. 星光值=  348  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 仪使者(妖精+大地), 厉毒小萝(天空+拟人), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 脆筒甜甜(软体+魔力)
   36. 星光值=  348  花怨鳗(两栖+海洋), 裘洛(动物+妖精), 矿晶虫(软体+大地), 小翼龙(天空+龙), 矮脚爬爬(巨灵+昆虫), 机械方方(拟人+机械), 小灵菇(植物+魔力)
   37. 星光值=  348  锤头鹤(两栖+天空), 炫光迪迪(动物+大地), 梦游(妖精+魔力), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
   38. 星光值=  346  花怨鳗(两栖+海洋), 奔波鼠(动物+拟人), 矿晶虫(软体+大地), 小翼龙(天空+龙), 毛头小蛛(昆虫+妖精), 多西(巨灵+机械), 小灵菇(植物+魔力)
